id,name,card_no,card_provider,shop_no,shop_name,loc,prd_name,price,result,txdate
areum79,´ì,3.7769E+14,JCB 16 digit,16628983,__ì¹´ì_,"37.5485, 126.8701",¼ê²¹(200g),10000,¹ì_,2022.12.2 15:37
jbag,ë¬¸ì_,4.26495E+12,Maestro,24765045,±í___,"37.579, 127.0391",__ë°±ë_,6000,¹ì_,2022.12.1 7:43
qyun,¸ì_,4.35541E+12,Discover,23119726,__ë¥¸ë_,"37.5064, 127.0068",¥ì_,7000,¹ì_,2022.12.2 7:12
acoe,ë°__,4.13465E+12,VISA 19 digit,16593971,¤íë²__,"37.5519, 127.0763",¼ê²¹(200g),14000,¹ì_,2022.12.2 22:02
jangeunji,ë°__,4.58786E+15,American Express,28378751,´ì_,"37.5034, 126.9018",ê¹ì¹_³¶_°¥,6000,¹ì_,2022.12.1 6:48
sumini,ë°__ì²,2.38419E+15,VISA 16 digit,24928629,_³µ__ê³¼ì_,"37.5049, 126.9407",ê¹ë°,1300,¹ì_,2022.11.30 7:12
jiu83,ê¹ëª__,4.6034E+15,VISA 13 digit,17075188,¼ì_,"37.461, 126.8962",ê¹ì¹__ê°,6000,¹ì_,2022.11.30 3:21
iseohyeon,´ë,4.46083E+15,JCB 16 digit,16182283,__¬ì___,"37.5594, 127.1533",ì¡°ê¸°ë§¤ì_,7000,¹ì_,2022.12.4 22:52
gyeongjana,´ì,4.91461E+15,JCB 15 digit,22848216,__ê³µì_ì¤__,"37.487, 126.9147",__êµ_,2000,¹ì_,2022.12.1 4:09
ibag,¤ì_ì§,3.55509E+15,JCB 16 digit,25703644,SK__ì½,"37.4874, 127.0152",ë¯¸ì_ë£(ì»¤í_),10000,¹ì_,2022.12.2 17:07
miyeong77,ìµ__,6.50626E+15,VISA 16 digit,12277694,ê±°ì_ì¶__,"37.569, 127.041",¼ê²¹(__200g),9000,¹ì_,2022.12.5 0:56
ji,ë°_,3.03003E+13,VISA 16 digit,24602059,____´ê__,"37.5227, 127.0408",¼ìê°__,8000,¹ì_,2022.12.4 14:45
njang,¤ì_,3.70644E+14,JCB 16 digit,16216083,_³µ____,"37.6218, 126.9269",ì¹¼êµ­,3000,¹ì_,2022.12.2 7:13
gangsangho,´ì,3.60453E+13,JCB 16 digit,12288924,¹ì_°ë¬¼,"37.6131, 127.0294",¼ìê°__ì°,6000,¹ì_,2022.11.29 13:44
sanghoson,ê¹ì§,3.52258E+15,VISA 16 digit,22266062,_¸ì_,"37.5188, 126.9851",¨ë°±ì§__,50000,¹ì_,2022.12.5 3:38
jeongujin,´ì,3.0482E+13,American Express,17172082,,"37.5431, 126.9394",¼ìê°__(ìº__¤ì_/320g),11000,¹ì_,2022.12.1 2:35
yeongsiggim,´ì_,4.77958E+18,JCB 16 digit,15967074,_·¹,"37.6004, 127.1007",__,6500,¹ì_,2022.12.4 14:47
myeongsug66,´ì_,3.57036E+15,VISA 19 digit,26125417,ë¯¸ì_,"37.5179, 126.8379",__ê³_¸°,7000,¹ì_,2022.12.2 11:00
yunseo47,_,3.57632E+15,Diners Club / Carte Blanche,25054812,ì²__¤ì__±°,"37.6132, 127.0618",ì¹¼êµ­,7000,¹ì_,2022.12.4 0:15
pbag,ê¹__,3.04277E+13,JCB 16 digit,11976054,ì£¼ê²½_µ¬ë¦__ì¹´í_,"37.4918, 126.9896",_³µ__,3000,¹ì_,2022.12.2 13:38
iyeongjin,ê¹ë¯¸ì_,4.93566E+15,Discover,26255936,__ë¹,"37.4855, 126.9805",©í_´ì_êµ,6000,¹ì_,2022.12.2 20:29
jiweon67,ê¹ì§,3.55031E+15,Mastercard,6181119,GS25,"37.5945, 127.0127",_©´,3500,¹ì_,2022.12.5 4:34
jeonghuncoe,ê¹±í_,3.52548E+15,VISA 13 digit,23180359,ê¼¼ê¼¼¤ì_,"37.5642, 127.029",ë°_½ì¹¼êµ_,5000,¹ì_,2022.12.5 10:55
jgim,ìµ__,4.18845E+15,Diners Club / Carte Blanche,17035067,ê°ê°ë§__,"37.5739, 127.0851",__ë§__,3000,¹ì_,2022.12.5 21:10
jinhoi,ë¯¼ì_ì¤,2.27083E+15,VISA 16 digit,17253045,ì»¤í_ë²__,"37.5552, 127.1403",__ë¶ì°__,5000,¹ì_,2022.12.5 1:46
myeongsugju,__ì²,4.88886E+18,JCB 16 digit,12022039,êµ°ì___,"37.5811, 127.0419",¬ì_ì´¬ì_ë£,10000,¹ì_,2022.11.30 17:44
namogja,ê¹__,1.8007E+14,American Express,12073812,__ë³´ë¦¬ë°©ì_,"37.5137, 127.1095",_©´,5000,¹ì_,2022.12.2 8:23
jangjiyeon,ë°__,5.24241E+15,VISA 13 digit,12456687,__ê³µì_ì¤__¬ì_ë¬´ì_,"37.4892, 127.0679",¼ì_,20000,¹ì_,2022.12.5 3:11
gangminseo,´ì_ê¸,4.20653E+18,VISA 19 digit,22437242,__ë¹_¤ì_,"37.4943, 126.8516",ì§__ë©,3500,¹ì_,2022.12.1 0:02
yeongsu15,´ì_,6.01113E+15,Diners Club / Carte Blanche,24613384,__¨ëë¦,"37.5417, 127.018",ë¹__ë°,6500,¹ì_,2022.11.29 15:32
gimjunseo,_²½,3.51497E+15,JCB 15 digit,16609393,¤ì_¸ë£¸ì¹´í_,"37.5622, 126.9841",_£¼°ì_ê³_¸°,9000,¹ì_,2022.12.2 4:59
jeongnamcoe,__,4.84436E+15,Discover,23208770,ì¤__ê¸°ì_ê°êµ,"37.5482, 126.8496",ê¹ì¹_°±ë°,5000,¹ì_,2022.11.30 9:09
myeongjagim,ê¹_,4.74567E+18,American Express,20381493,ê¸ë¡_¦¬__¤ì»¤,"37.5804, 126.9972",¼ê²¹,9900,¹ì_,2022.12.3 19:14
seonghyeongweon,ì¡°ì_,4.32274E+15,Diners Club / Carte Blanche,22902552,¡ì__,"37.5494, 127.0706",_°©¤ë¦¬ë°±ì_,50000,¹ì_,2022.12.3 23:28
ncoe,ê¹__,2.29528E+15,JCB 16 digit,24492721,¤ë_ë¶°ì_____ë¬¸í_,"37.6492, 127.077",__,15000,¹ì_,2022.12.3 12:14
xbag,´ì_,5.75925E+11,American Express,25020175,±ì___,"37.5365, 127.0576",ë¹__ë§_µ­,6500,¹ì_,2022.12.3 7:30
jihyegim,ê°_,3.004E+13,VISA 19 digit,15556545,±ê³µ¸ì_ê°__CSTM,"37.6091, 127.0298",__ë¹__ë°,5000,¹ì_,2022.12.3 0:38
gyeongja55,ë°__ë¯,4.76715E+12,JCB 16 digit,26041298,êµ½ì___¨í_,"37.581, 127.0214",__ë©,6000,¹ì_,2022.12.3 1:57
seonyeongi,êµ¬ì_ì²,4.28992E+15,VISA 16 digit,24723868,ê³¨ë_¸ë_°ì_,"37.6098, 127.0963",ê¹ë°,1500,¹ì_,2022.12.4 8:44
imiyeong,ê¹ì§,6.01102E+15,Maestro,22935479,ì§¤ë,"37.6208, 127.0836",__,30000,¹ì_,2022.12.5 19:10
jgim,ì£¼ì_ë¯,3.56532E+15,JCB 15 digit,25291604,__´ë¦°´ì_,"37.5782, 127.0222",__,25000,¹ì_,2022.12.5 20:14
ieunjeong,ê¹__,1.80048E+14,VISA 16 digit,23099671,ë¡_¸í_,"37.5564, 126.8495",ì¹¼êµ­,5000,¹ì_,2022.12.3 12:33
ryujieun,ê¹__,3.56279E+15,VISA 19 digit,16394136,ë¯¸ë,"37.5211, 127.035",ì²µ­,6500,¹ì_,2022.12.4 4:07
areumi,ì£¼ì_,4.30951E+15,JCB 16 digit,24752675,__¬ë_,"37.5217, 126.8475",_£¼__ì§(180g) ¤ê²¹,13000,¹ì_,2022.11.29 19:56
ygim,¡ì_,2.25618E+15,JCB 16 digit,22396982,ë¹__,"37.6577, 127.0167",¼ìê°__(êµ_200g),1000,¹ì_,2022.11.30 9:44
icunja,´ì_,4.63337E+18,Maestro,12137414,mofl,"37.5118, 127.0591",__,20000,¹ì_,2022.12.5 15:21
gangseojun,ë°_,3.8473E+13,Mastercard,27785669,ê°__êµ¬ì²­´ë¦°´ì_,"37.6392, 127.0254",ì§¬ë_(2),9000,¹ì_,2022.12.2 17:19
sanghuni,ê¹ë³´ë_,4.56275E+18,Mastercard,20007657,ë¯¸ì_°ì_êµ,"37.6639, 127.0765",__ì´_°¥,10000,¹ì_,2022.11.30 13:41
dhwang,¥ê²½,2.37653E+15,VISA 19 digit,12256132,ë£¨ì_¤í_ì¸,"37.5687, 127.0119",__,30000,¹ì_,2022.12.2 8:09
tryu,ê³½í_ì§,1.80072E+14,JCB 15 digit,22481594,_µ­__ì°¨ì___ë¬¸í___©í_,"37.5284, 126.9045",ê¹ì¹__ê°,5000,¹ì_,2022.11.30 3:53
myeongja18,¡í_,4.95378E+15,Mastercard,22995419,ë°±ì_,"37.5125, 127.0933",__,10000,¹ì_,2022.12.3 15:30
ibag,ê¹__,5.01839E+11,VISA 16 digit,23453579,¨ì_ì§,"37.6193, 126.9214",__ë³¶ì_,5900,¹ì_,2022.12.3 23:11
jju,ë°__,3.57936E+15,JCB 15 digit,12614600,_¦¬_¦¬__,"37.4784, 126.9567",¼ì_ë¹__ë°,4000,¹ì_,2022.12.2 4:25
yeongsugyun,ê¹__,4.02777E+15,JCB 15 digit,20480987,__ë°©ì_ê°,"37.5611, 127.0303",ì¹¼êµ­,6000,¹ì_,2022.11.28 22:17
jeonjihye,ê¹ê²,3.70387E+14,Diners Club / Carte Blanche,20308953,¤íë²__,"37.5839, 127.0297",ì»¤í_,8000,¹ì_,2022.12.4 9:05
hyeonu42,ìµ__ë¯,2.13119E+14,VISA 13 digit,16322989,´ì_______,"37.5585, 126.8343",ì¹´í_¼ë_,3000,¹ì_,2022.11.29 6:29
myeongsugi,_,4.44395E+15,Diners Club / Carte Blanche,16644249,êµ__ì¹__,"37.4975, 127.0526",ì»¤í_,5000,¹ì_,2022.12.5 19:50
subin22,__ì²,3.69296E+13,Discover,24663771,__·ì§±,"37.5639, 126.8101",ê¹ì¹_³¶_°¥,6000,¹ì_,2022.12.4 18:52
munjeonghun,´ì,3.43547E+14,Maestro,25604477,__,"37.5315, 126.8478",¼ê²¹,5900,¹ì_,2022.12.2 6:52
seoyun04,êµ¬ì_ì§,4.50451E+15,VISA 13 digit,17272978,¤ë__³µê°__,"37.5528, 126.924",ê¹_¥´ë³´ë_,6900,¹ì_,2022.11.28 20:26
ssim,ê¹ì§,3.72949E+14,Maestro,24617691,ë¦¬ë³¸,"37.5592, 126.9781",´ì_ì¸,1500,¹ì_,2022.12.1 8:38
jeongsunson,ê³__ì§,3.03889E+13,JCB 16 digit,12311552,ê´__,"37.5697, 127.0405",ì§¬ë_,5000,¹ì_,2022.12.2 3:55
seonyeong33,¥ì_ë¯,3.56743E+15,Diners Club / Carte Blanche,12490031,__¸í_¥ì___,"37.5661, 127.0681",_êµ,7000,¹ì_,2022.12.3 8:52
iminjae,¤ì_,1.80061E+14,Diners Club / Carte Blanche,16139352,¸ê¼¬__ë§__ì´,"37.486, 127.0141",ì¹¼êµ­,3000,¹ì_,2022.12.5 23:40
jeonghyihan,ë¬¸ì,3.74616E+14,Maestro,17249349,ì¹´í_êµ¬ì_,"37.5895, 127.0195",ë¶__ê¸,15000,¹ì_,2022.12.5 4:28
gangjuweon,¤ì_,2.25526E+15,Diners Club / Carte Blanche,24401282,¬ë¦°__,"37.4926, 127.0756",ë¹__ë°,5000,¹ì_,2022.11.28 12:51
seunghyeongim,ê¹__,3.05407E+13,VISA 16 digit,22777650,DCë§__,"37.5144, 126.919",´ë_,5000,¹ì_,2022.11.30 2:33
iseongho,ê°__,3.01756E+13,VISA 16 digit,24894449,_µ­©ì__¬¸,"37.4872, 126.9912",¥ì_+ê³µê¸°ë°,7000,¹ì_,2022.11.29 21:06
li,ë°__ì²,3.78282E+14,JCB 16 digit,12093526,__·ì_ë¶____´í_,"37.5376, 126.8409",__ê¸ ¤í__ª¨(450g),23000,¹ì_,2022.11.28 9:23
jeongsug42,´ì,5.02005E+11,Maestro,11799688,°ë¦¬¤ì_¸ì___¬ì_,"37.4782, 127.045",_,5000,¹ì_,2022.11.30 0:26
yunseomun,ê¹ì§,3.57764E+15,American Express,25527309,__ì­_¾¸ë¯,"37.5265, 126.9175",ë¹__ë° ,6000,¹ì_,2022.12.3 21:21
qgim,±ì_ì§,2.1315E+14,Maestro,20868634,___³¼__,"37.5309, 126.8372",ë¯¸ì_ë£(__),20000,¹ì_,2022.12.5 7:55
seunghyeongim,ê¹__,3.05407E+13,VISA 16 digit,16765109,ë©__¨ì»¤,"37.6111, 126.9168",¼ìê°__,11000,¹ì_,2022.12.2 11:47
go,_,4.82394E+12,Diners Club / Carte Blanche,12322926,____,"37.5686, 127.0069",¼ì_,20000,¹ì_,2022.12.2 2:45
seohyeon71,´ì£¼,6.76178E+11,VISA 13 digit,19965191,____ì»´í_,"37.4692, 126.9253",©í_´ì_êµ,6000,¹ì_,2022.12.2 21:29
rgim,ë°__ì¤,5.60942E+11,JCB 15 digit,17436294,INTERCREWPCë°,"37.4952, 126.9562",ì§¬ë_,5000,¹ì_,2022.12.2 3:25
si,__,4.21572E+15,American Express,25618540,ëª__ì¹¼êµ­,"37.489, 127.069",¼ê²¹(200g),10000,¹ì_,2022.11.30 9:27
ihan,´ê_,2.13192E+14,VISA 16 digit,25259131,__,"37.4867, 126.9308",ì½©ë_ë¬¼ë°¥,3500,¹ì_,2022.11.28 22:28
donghyeon12,ë¬¸ë,2.13103E+14,Mastercard,24338751,¨ì___,"37.4987, 127.028",ì§__ë©,3000,¹ì_,2022.12.1 13:38
gyeongsug57,__,1.80021E+14,VISA 16 digit,12466722,__ì½_¦¿ì»¤í_¤ë_ê³_ì¤__ê´__,"37.5865, 127.031",ì¹__,13000,¹ì_,2022.12.2 10:15
jgim,êµ¬ë,6.51047E+15,JCB 15 digit,24571836,¡ì¨ì_,"37.5694, 127.0138",¹ì°¨,2000,¹ì_,2022.12.1 13:51
yeeun21,ê¹__,4.17602E+12,VISA 16 digit,28362827,____´ë¦°´ì_,"37.5609, 126.8567",__ë£,4000,¹ì_,2022.11.30 19:53
lgim,¬ì_,5.0187E+11,Discover,24418379,¼ë¬¸ì½_¦¬,"37.4939, 127.0629",ë¯¸ì_ë£(__),30000,¹ì_,2022.11.28 23:41
hyeonjii,__,4.62082E+12,JCB 16 digit,24788423,¼ì_ë¸____µì_,"37.4597, 126.9047",ë§__êµ,6500,¹ì_,2022.12.3 13:28
jyang,´ì_,2.26587E+15,JCB 16 digit,11986540,ê°¤ë_ë¦¬ì¹´_»¤¼ì_,"37.486, 127.1283",¼ì__ë¹(250g),10900,¹ì_,2022.12.3 2:47
bagjeongsu,ê¹__,4.85487E+12,American Express,23361321,,"37.4801, 127.1196",ê¹ì¹__ê°,6000,¹ì_,2022.12.4 2:21
hyeonjeongi,´ì_,3.78849E+14,VISA 16 digit,15996547,ê°____ë¹,"37.5616, 126.9922",_êµ,7000,¹ì_,2022.12.1 5:52
tsim,ê¹ì¤,60424211716,VISA 19 digit,12581316,__ë¦¬ì__¥´ë§__,"37.5274, 127.0274",ê°__,6000,¹ì_,2022.12.3 15:31
yejun11,ê¹ë³´ë_,4.29853E+15,JCB 15 digit,24293505,__¤ìë¯¸ì»¬,"37.4815, 127.0436",ë¹__ë°,5000,¹ì_,2022.11.28 22:21
sunja95,ê¹__,3.55884E+15,VISA 19 digit,24867892,ë¶______ë¶__ì¤__¬ë¬´,"37.5835, 127.0944",__ê²¹ì_(200g),15000,¹ì_,2022.12.5 17:01
gimyeweon,ê¶__,3.01317E+13,American Express,20676816,¤ì___,"37.5911, 127.0367",ì¹´í_¼ë_,2800,¹ì_,2022.11.30 15:22
igim,¤ì_,5.02069E+11,Maestro,23268978,CU,"37.5492, 126.9399",ì¹¼êµ­,4000,¹ì_,2022.12.4 10:46
ybag,¡ì,6.01131E+15,VISA 19 digit,21743606,_³µ¸ì_ê°__¬ë¬´,"37.6104, 126.926",__ë©,3000,¹ì_,2022.12.4 21:09
baegjeongung,ê¹¤ì_,4.62724E+15,JCB 16 digit,12022055,ì½____,"37.6025, 127.0107",ê¹ì¹__ê°,5000,¹ì_,2022.12.2 6:52
minjigim,ë°°ìë¯,4.99174E+12,JCB 16 digit,20871384,ëª___,"37.6067, 127.0335",_©´,5000,¹ì_,2022.11.29 7:04
lno,´í_ì¤,3.57342E+15,VISA 16 digit,25828510,ë°__________,"37.6542, 127.0585",¸í_ë£,7000,¹ì_,2022.12.5 18:33
jeonghocoe,¡ë_,3.53814E+15,American Express,16515001,_£¼,"37.5589, 127.0119",___¨¸ë¦¬êµ­ë°,6000,¹ì_,2022.11.30 1:03
zi,__ì²,3.54583E+15,VISA 16 digit,26011113,ê°¨ì_,"37.5826, 126.9831",ê¹ì¹__ê°,6000,¹ì_,2022.11.29 18:00
hyeonjucoe,¬ê²½,4.24247E+15,Diners Club / Carte Blanche,23572877,___´í_,"37.6819, 127.047",____(180g),13000,¹ì_,2022.12.3 19:25
jiminseo,_,1.80049E+14,VISA 16 digit,25001529,ë½°ì___,"37.4887, 126.9945",ì»·í_(__),5000,¹ì_,2022.11.30 15:04
baegyeongho,ê¹__,3.59461E+15,JCB 15 digit,16136524,¼êµ¬__¤ì_,"37.5676, 126.9884",¼ì_ ,10000,¹ì_,2022.11.29 4:51
coeseoyeon,ê¹¹ë,4.99769E+18,Diners Club / Carte Blanche,22207465,ë³´ë__²½,"37.6093, 127.0098",__ì§__,5000,¹ì_,2022.11.29 20:05
ryuyeongsu,ìµ__ì§,3.45135E+14,Discover,23511247,¥ì_¬ì_ë©__¬ì_ë£,"37.5501, 126.9213",ì¹¼êµ­,6000,¹ì_,2022.12.1 5:16
heoeungyeong,ê¹__,5.67257E+11,VISA 13 digit,20288433,´ì___,"37.5687, 127.0105",¼ìêµ°¥,7000,¹ì_,2022.12.3 2:27
gimsugja,ê¹±ë,4.58259E+15,Maestro,22776114,_____,"37.5188, 126.8985",__ë³¶ì_,6500,¹ì_,2022.12.4 15:43
qgim,¤ì_ë¯,4.38075E+15,VISA 13 digit,25228033,__ê³µê_,"37.5726, 127.0737",ë¹__ë°,6500,¹ì_,2022.11.30 6:16
jeongung72,ê¹__,3.04035E+13,VISA 13 digit,24738340,¬ë_ì§,"37.6064, 127.0947",__ì°__,5000,¹ì_,2022.11.28 18:18
seongmijeong,__ì²,4.11519E+18,JCB 16 digit,22855836,__,"37.5635, 127.0781",4x6 ì¦__¸í_,500,¹ì_,2022.11.29 12:32
ji,ë°_,5.81312E+11,VISA 16 digit,3020059,__ê³¤ì_ë¹__,"37.4829, 126.9957",ì»¤í_,10000,¹ì_,2022.12.5 7:45
yeonghwan35,__,5.02037E+11,VISA 16 digit,16028977,°ë¦¬¤í_¤ì,"37.4555, 127.0562",ê¹ì¹__ê°,5500,¹ì_,2022.12.1 10:52
lbag,ë°__,2.13128E+14,VISA 13 digit,23085748,_²°ê³µì_ì¤__,"37.5495, 126.8763",¤ê¹¨__ë¹,6500,¹ì_,2022.12.3 15:19
seogwangsu,__,4.54621E+15,VISA 16 digit,22572856,___,"37.489, 126.8924",¼ê²¹(200g),12000,¹ì_,2022.12.1 12:45
yeeunbag,ë¥__,3.55573E+15,Mastercard,25129273,_____²©¬ê¸°ì²´ì_ê´,"37.6116, 127.0756",__,8000,¹ì_,2022.11.30 6:57
yeongsugang,ê¹ì¢__,3.01708E+13,JCB 16 digit,26225416,___²½,"37.5585, 126.9773",__ë¶ì°__,6000,¹ì_,2022.12.3 16:54
ho,ê¹__,3.50135E+15,VISA 16 digit,16183089,___³´µì_,"37.6244, 127.0507",__ì°__,6000,¹ì_,2022.11.30 15:48
vgang,¥ì_,3.71513E+14,VISA 16 digit,12242633,_·¸__,"37.5697, 126.9978",__ë¶ì°__,7000,¹ì_,2022.11.30 11:09
tbag,ë°__ì§,4.76855E+15,Mastercard,28079975,__ë©´ëª©2__¸ì·¨ê¸_µ­,"37.591, 127.0733",ê¹ì¹__ê° ,4500,¹ì_,2022.12.3 8:26
gimyeongho,´ì,3.05534E+13,VISA 16 digit,20017022,´ë¨¸_°¥,"37.5407, 126.9513",ê¹ì¹__ê°_°±ë°,6000,¹ì_,2022.11.28 17:06
kan,±ì_ê¸,4.96476E+12,VISA 16 digit,19979680,¡ê___,"37.4861, 126.9428",__ì°__,6000,¹ì_,2022.12.2 15:07
hanjunho,´ì,6.75912E+11,VISA 13 digit,12022851,¡ê__ë°±í_,"37.5576, 126.9056",¼ê²¹,12000,¹ì_,2022.11.29 14:41
eunjucoe,ê¹__,1.80056E+14,VISA 16 digit,23230307,¤ì_ì¤__ê°__,"37.4998, 127.1027",__ê´__,2000,¹ì_,2022.12.5 20:21
coeeunseo,ë¬¸ê²½,3.71727E+14,Maestro,12659337,ì»¤í_³ì_,"37.5202, 126.9719",__ë·__,6000,¹ì_,2022.12.3 18:45
seunghyeon49,¡ì£¼,3.03277E+13,Discover,12194557,_¸°ë¨¸ë¦¬,"37.6012, 127.108",ì»·í_(±ì_),7000,¹ì_,2022.12.2 10:50
co,ê³½ì_,4.51181E+15,JCB 15 digit,26498003,__ë¶__,"37.4913, 126.8896",ì»·í_(__),5000,¹ì_,2022.12.4 13:02
iyejin,ë°__,1.80052E+14,Discover,15995444,ê°__,"37.5097, 127.1112",´ì_ë£(ì»¤í_),5000,¹ì_,2022.12.2 15:03
donghyeoni,ë¬¸ì_ì§,2.22795E+15,VISA 19 digit,25037071,__ëª¨í_,"37.5867, 127.0019",__ì°__,5000,¹ì_,2022.12.2 18:20
